板块	子类		标的	代码
存储芯片	芯片设计	881121.TI	复旦微电	688385.SH
存储芯片	接口芯片	881121.TI	澜起科技	688008.SH
存储芯片	模组/品牌		江波龙	301308.SZ
存储芯片	模组/品牌		佰维存储	688525.SH
存储芯片	模组/品牌		德明利	001309.SZ
存储芯片	模组/品牌		朗科科技	300042.SZ
存储芯片	封测		深科技	000021.SZ
存储芯片	封测		太极实业	600667.SH
存储芯片	分销		香农芯创	300475.SZ
存储芯片	分销		中电港	001287.SZ
存储芯片	分销		商络电子	300975.SZ
PCB产业链	上游设备	881121.TI	泰坦股份	003036.SZ
PCB产业链	上游设备	881121.TI	卓郎智能	600545.SH
PCB产业链	玻纤纱/布		中国巨石	600176.SH
PCB产业链	玻纤纱/布		中材科技	002080.SZ
PCB产业链	玻纤纱/布		长海股份	300196.SZ
PCB产业链	玻纤纱/布		菲利华	300395.SZ
PCB产业链	玻纤纱/布		宏和科技	603256.SH
PCB产业链	覆铜板上游	881126.TI	圣泉集团	605589.SH
PCB产业链	覆铜板上游	881126.TI	宏昌电子	603002.SH
PCB产业链	覆铜板上游	881126.TI	同宇新材	301630.SZ
PCB产业链	覆铜板上游	881126.TI	东材科技	601208.SH
PCB产业链	覆铜板上游	881126.TI	联瑞新材	688300.SH
PCB产业链	覆铜板	881126.TI	生益科技	600183.SH
PCB产业链	覆铜板	881126.TI	南亚新材	688519.SH
PCB产业链	覆铜板	881126.TI	华正新材	603186.SH
PCB产业链	覆铜板	881126.TI	金安国纪	002636.SZ
PCB产业链	覆铜板	881126.TI	中英科技	300936.SZ
PCB产业链	铜箔	881126.TI	诺德股份	600110.SH
PCB产业链	铜箔	881126.TI	嘉元科技	688388.SH
PCB产业链	铜箔	881126.TI	铜冠铜箔	301217.SZ
PCB产业链	铜箔	881126.TI	中一科技	301150.SZ
PCB产业链	铜箔	881126.TI	德福科技	301511.SZ
PCB产业链	PCB制造	881121.TI	沪电股份	002463.SZ
PCB产业链	PCB制造	881121.TI	胜宏科技	300476.SZ
PCB产业链	PCB制造	881121.TI	深南电路	002916.SZ
PCB产业链	PCB制造	881121.TI	兴森科技	002436.SZ
PCB产业链	PCB制造	881121.TI	生益电子	688183.SH
PCB产业链	PCB制造	881121.TI	方正科技	600601.SH
PCB产业链	PCB制造	881121.TI	鹏鼎控股	002938.SZ
PCB产业链	PCB制造	881121.TI	东山精密	002384.SZ
PCB产业链	PCB制造	881121.TI	景旺电子	603228.SH
PCB产业链	PCB制造	881121.TI	世运电路	603920.SH
PCB产业链	PCB制造	881121.TI	明阳电路	300739.SZ
PCB产业链	PCB制造	881121.TI	迅捷兴	688655.SH
PCB产业链	PCB制造	881121.TI	广合科技	001389.SZ
PCB产业链	化学品/耗材		容大感光	300576.SZ
PCB产业链	化学品/耗材		广信材料	300537.SZ
PCB产业链	化学品/耗材		光华科技	002741.SZ
PCB产业链	设备	881121.TI	大族数控	301200.SZ
PCB产业链	设备	881121.TI	大族激光	002008.SZ
PCB产业链	设备	881121.TI	杰普特	688025.SH
PCB产业链	设备	881121.TI	芯基微装	688630.SH
PCB产业链	设备	881121.TI	东威科技	688700.SH
PCB产业链	设备	881121.TI	洪田股份	603800.SH
PCB产业链	设备	881121.TI	新锐股份	688257.SH
PCB产业链	设备	881121.TI	中钨高新	000657.SZ
PCB产业链	设备	881121.TI	鼎泰高科	301377.SZ
PCB产业链	设备	881121.TI	燕麦科技	688312.SH
PCB产业链	设备	881121.TI	天准科技	688003.SH
光通信/光互连	光芯片	881121.TI	云南锗业	002428.SZ
光通信/光互连	光芯片	881121.TI	安孚科技	603031.SH
